Material_Type,Product_Type,Industry,Strength (1-10),Weight Capacity (kg),Biodegradability Score (1-10),Recyclability (%),Cost (USD),CO2 Emission (kg CO2/kg)
Cardboard,Cereal Box,Food & Beverage,9,0.54,9,86.79,1.51,0.7
Molded Pulp,Smartwatch Box,Electronics,7,0.44,10,78.41,3.47,0.95
Bagasse Fiber,Shopping Bag,Retail,8,1.35,8,72.89,3.15,1.34
Bioplastic (PLA),Lipstick Tube,Cosmetics,3,4.63,9,62.5,3.76,0.67
PET Plastic,Beverage Can,Food & Beverage,6,4.56,2,55.96,2.49,4.73
PP Plastic,Toilet Cleaner Bottle,Household,10,0.61,2,73.61,2.35,3.97
Kraft Paper,Wet Wipes Pack,Household,5,0.72,9,81.23,2.11,1.23
Glass,Medicine Bottle,Pharmaceuticals,7,2.1,1,87.54,3.08,3.08
Recycled Plastic,Chocolate Wrapper,Food & Beverage,4,0.17,1,73.79,1.55,2.91
Aluminum,Heavy Crate,Logistics,7,83.62,2,90.16,2.08,2.34
PET Plastic,Cream Jar,Cosmetics,9,4.51,1,65.29,2.31,3.71
PP Plastic,Seedling Tray,Agriculture,3,7.56,2,56.37,2.59,4.65
HDPE Plastic,Floor Cleaner Bottle,Household,3,2.72,2,74.6,3.39,3.73
Kraft Paper,Power Bank Box,Electronics,9,0.57,10,80.66,1.63,1.76
Glass,Water Bottle,Food & Beverage,9,0.78,2,94.4,5.07,3.97
Recycled Plastic,Sterile Wrap,Healthcare,9,6.44,1,77.49,1.08,2.98
Cardboard,Cereal Box,Food & Beverage,7,0.47,9,72.92,1.52,1.38
PP Plastic,Pill Blister Pack,Pharmaceuticals,3,16.45,3,53.18,3.05,3.7
Bagasse Fiber,Instant Noodle Cup,Food & Beverage,3,0.45,9,73.2,2.93,1.14
Recycled Plastic,Juice Carton,Food & Beverage,3,6.03,1,80.09,1.52,1.52
PP Plastic,Chemical Storage Bottle,Chemicals,5,3.15,1,64.02,1.82,3.3
Corrugated Cardboard,Cereal Box,Food & Beverage,9,0.57,10,81.37,1.68,1.59
Kraft Paper,Pet Food Bag,Pet Care,8,7.85,7,81.11,2.81,0.96
PET Plastic,Honey Jar,Food & Beverage,5,0.84,1,51.79,2.37,5.37
Bagasse Fiber,Instant Noodle Cup,Food & Beverage,4,0.21,10,79.03,3.18,0.49
PET Plastic,Sauce Bottle,Food & Beverage,7,0.77,3,70.85,3.37,3.65
Bioplastic (PLA),Chocolate Wrapper,Food & Beverage,4,0.23,9,61.38,2.72,0.66
Cardboard,Razor Packaging,Personal Care,3,0.1,9,82.82,2.91,1.76
Bagasse Fiber,Garbage Bag,Household,8,19.27,9,68.39,2.54,0.57
Cardboard,Razor Packaging,Personal Care,10,0.12,10,82.75,2.48,0.77
Kraft Paper,Chocolate Wrapper,Food & Beverage,10,0.14,7,72.94,1.71,1.33
