Strength (1-10),Weight Capacity (kg),Biodegradability Score (1-10),Recyclability (%),Cost (USD),CO2 Emission (kg CO2/kg),Material_Type_Bagasse Fiber,Material_Type_Bamboo,Material_Type_Bioplastic (PLA),Material_Type_Cardboard,Material_Type_Corrugated Cardboard,Material_Type_Foam,Material_Type_Glass,Material_Type_HDPE Plastic,Material_Type_Jute,Material_Type_Kraft Paper,Material_Type_Molded Pulp,Material_Type_Mushroom Packaging,Material_Type_PET Plastic,Material_Type_PP Plastic,Material_Type_Recycled Plastic,Material_Type_Steel,Material_Type_Tempered Glass,Material_Type_Wood,Product_Type_Blister Pack,Product_Type_Bubble Wrap,Product_Type_Cable Packaging,Product_Type_Chemical Storage Bottle,Product_Type_Component Tray,Product_Type_Cosmetic Packaging Box,Product_Type_Cream Jar,Product_Type_Fertilizer Bag,Product_Type_Food Container,Product_Type_Gift Box,Product_Type_Hang Tag Packaging,Product_Type_Heavy Crate,Product_Type_Industrial Drum,Product_Type_Juice Carton,Product_Type_Lab Packaging,Product_Type_Laptop Packaging Box,Product_Type_Lipstick Tube,Product_Type_Mailer Bag,Product_Type_Medical Device Box,Product_Type_Medicine Bottle,Product_Type_Pallet Wrap,Product_Type_Perfume Bottle,Product_Type_Pharma Vial,Product_Type_Phone Box,Product_Type_Pill Blister Pack,Product_Type_Pizza Box,Product_Type_Produce Bag,Product_Type_Seedling Tray,Product_Type_Shipping Box,Product_Type_Shopping Bag,Product_Type_Snack Packaging,Product_Type_Spray Bottle,Product_Type_Sterile Wrap,Product_Type_Surgical Kit Box,Product_Type_Syringe Packaging,Product_Type_Water Bottle,Industry_Chemicals,Industry_Cosmetics,Industry_Electronics,Industry_Food & Beverage,Industry_Healthcare,Industry_Logistics,Industry_Pharmaceuticals,Industry_Retail
9,4.28,3,66.15,2.71,4.55,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
9,8.7,1,58.32,2.72,4.31,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,95.75,9,75.33,1.04,0.82,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
5,23.46,8,71.52,2.61,0.34,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
3,1.3,10,82.88,1.83,0.64,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,7.26,10,76.03,2.53,1.44,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,1.35,10,70.18,2.01,0.65,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
3,14.97,9,82.76,2.41,1.01,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
5,2.47,9,63.63,2.93,1.23,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
9,4.5,2,76.82,3.05,4.65,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
