material_type,product_type,industry,strength,weight_capacity,biodegradability_score,recyclability,cost,co2_emission
Aluminum,Furniture Carton,Furniture,10,31.7,1,95.29,3.62,3.488
Bagasse Fiber,Pizza Box,Food Packaging,7,6.19,9,80.83,2.42,0.488
Mushroom Packaging,Board Game Box,Toys,5,14.17,10,65.82,2.88,0.269
Glass,Fabric Wrap,Textiles,10,35.7,1,96.91,4.39,1.848
PLA Bioplastic,Hardware Container,Construction,6,15.29,6,68.84,1.31,1.185
Corrugated Cardboard,Foam Insert Package,Home Appliances,7,12.44,9,88.2,0.73,0.799
PLA Bioplastic,Beverage Bottle,Food Packaging,7,12.69,7,60.4,1.12,1.137
Recycled PET,Garment Bag,Textiles,10,27.63,3,88.95,3.67,2.155
Aluminum,Tile Packaging,Construction,10,21.33,1,99.22,4.3,3.528
Recycled PET,Protective Box,Home Appliances,9,29.48,2,86.41,3.27,2.101
Aluminum,Medicine Box,Healthcare,8,31.58,2,98.95,2.56,3.532
Aluminum,Oil Container,Automotive,9,21.74,1,99.25,5.41,3.455
Mushroom Packaging,Appliance Carton,Home Appliances,7,11.11,10,65.49,3.11,0.448
PLA Bioplastic,Perfume Bottle,Cosmetics,6,19.66,8,65.22,1.42,1.286
Aluminum,Fabric Wrap,Textiles,9,27.41,1,97.2,3.05,3.469
Mushroom Packaging,Makeup Box,Cosmetics,7,12.75,9,70.17,1.62,0.417
Aluminum,Battery Packaging,Automotive,8,28.1,1,99.65,3.41,3.46
Glass,Laptop Box,Electronics,10,36.07,2,97.08,4.1,1.775
Bagasse Fiber,Fabric Wrap,Textiles,5,8.86,8,70.01,1.53,0.542
Aluminum,TV Carton,Electronics,9,27.66,1,97.42,3.37,3.434
Kraft Paper,Syringe Pack,Healthcare,7,7.44,10,92.03,1.03,0.611
Corrugated Cardboard,Tablet Blister Pack,Healthcare,7,34.06,8,88.36,0.71,0.699
Recycled PET,Perfume Bottle,Cosmetics,8,29.97,4,85.51,2.23,2.103
Corrugated Cardboard,Spare Parts Box,Automotive,8,27.02,7,85.87,1.05,0.923
Bagasse Fiber,Action Figure Pack,Toys,7,12.85,10,77.05,1.58,0.536
Glass,Foam Insert Package,Home Appliances,9,36.33,2,99.18,5.14,1.769
PLA Bioplastic,Toy Box,Toys,9,11.91,8,56.97,1.4,1.244
Corrugated Cardboard,Furniture Carton,Furniture,9,19.67,8,90.05,1.27,0.83
Kraft Paper,Laptop Box,Electronics,6,10.41,9,93.17,1.01,0.641
Bagasse Fiber,Electronic Blister Pack,Electronics,5,8.18,9,83.46,0.88,0.438
Aluminum,Battery Packaging,Automotive,8,24.18,1,99.44,4.32,3.526
Mushroom Packaging,Pizza Box,Food Packaging,7,17.36,10,77.97,1.59,0.415
PLA Bioplastic,Tile Packaging,Construction,9,9.22,8,58.97,1.13,1.193
Corrugated Cardboard,Electronic Blister Pack,Electronics,9,15.93,7,82.15,1.92,0.703
Mushroom Packaging,Takeaway Container,Food Packaging,7,15.21,10,67.35,3.42,0.357
Glass,Protective Cushioning Pack,Furniture,10,39.46,1,97.43,5.23,1.807
PLA Bioplastic,Beverage Bottle,Food Packaging,7,12.2,6,53.9,1.61,1.187
PLA Bioplastic,Cosmetic Tube,Cosmetics,9,15.75,6,69.89,1.2,1.336
PLA Bioplastic,Oil Container,Automotive,9,8.19,6,69.27,2.37,1.224
Aluminum,Medical Container,Healthcare,8,25.78,1,96.34,3.82,3.496
Kraft Paper,Cosmetic Tube,Cosmetics,4,8.95,9,85.97,0.45,0.632
Kraft Paper,Action Figure Pack,Toys,6,10.18,9,88.23,0.89,0.688
Corrugated Cardboard,Pizza Box,Food Packaging,8,27.72,9,89.72,0.55,0.845
Recycled PET,Electronic Blister Pack,Electronics,9,15.08,2,86.94,3.77,2.07
Glass,Takeaway Container,Food Packaging,10,21.02,1,95.47,3.04,1.742
Glass,Assembly Kit Box,Furniture,9,29.31,1,99.91,4.65,1.725
Kraft Paper,Board Game Box,Toys,5,7.5,9,86.27,0.67,0.576
Recycled PET,Medical Container,Healthcare,8,21.86,3,85.52,2.8,2.154
Aluminum,Tile Packaging,Construction,10,29.56,2,98.72,4.14,3.435
Kraft Paper,Clothing Box,Textiles,4,5.81,10,91.96,0.52,0.5
Kraft Paper,Spare Parts Box,Automotive,5,6.56,9,86.83,1.46,0.584
Mushroom Packaging,Spare Parts Box,Automotive,5,15.38,9,68.71,2.98,0.39
Bagasse Fiber,Assembly Kit Box,Furniture,6,9.2,8,71.38,2.4,0.483
Glass,Tablet Blister Pack,Healthcare,10,34.07,2,95.09,5.58,1.759
Aluminum,Clothing Box,Textiles,8,26.97,1,98.18,4.29,3.582
Kraft Paper,Protective Box,Home Appliances,5,14.33,8,90.39,1.41,0.528
Kraft Paper,Cement Liner Bag,Construction,4,13.67,10,90.73,0.41,0.63
Recycled PET,Medicine Box,Healthcare,10,27.31,4,93.2,1.99,2.152
PLA Bioplastic,Food Tray,Food Packaging,9,11.29,8,62.37,1.09,1.179
Kraft Paper,Furniture Carton,Furniture,7,8.85,9,85.23,0.69,0.594
